Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Buffalo Bills,4,1,0,.800,153,113,40,8.0,-8.7,-0.7,0.3,-1.0
New England Patriots,3,2,0,.600,125,101,24,4.8,-4.9,-0.1,-1.1,1.1
Miami Dolphins,1,4,0,.200,107,145,-38,-7.6,0.4,-7.2,-2.1,-5.2
New York Jets,0,5,0,.000,112,157,-45,-9.0,-2.3,-11.3,-6.0,-5.3
Pittsburgh Steelers,3,1,0,.750,96,98,-2,-0.5,-1.1,-1.6,-0.2,-1.5
Cincinnati Bengals,2,3,0,.400,85,156,-71,-14.2,2.4,-11.8,-4.8,-7.0
Baltimore Ravens,1,4,0,.200,141,177,-36,-7.2,1.3,-5.9,8.2,-14.1
Cleveland Browns,1,4,0,.200,73,123,-50,-10.0,-2.1,-12.1,-12.9,0.8
Indianapolis Colts,4,1,0,.800,163,89,74,14.8,-1.2,13.6,8.5,5.2
Jacksonville Jaguars,4,1,0,.800,127,100,27,5.4,0.5,5.9,5.2,0.7
Houston Texans,2,3,0,.400,108,61,47,9.4,2.4,11.8,-5.4,17.3
Tennessee Titans,1,4,0,.200,73,141,-68,-13.6,9.2,-4.4,-1.6,-2.7
Los Angeles Chargers,3,2,0,.600,98,98,0,0.0,-0.5,-0.5,-2.9,2.4
Denver Broncos,3,2,0,.600,117,84,33,6.6,1.5,8.1,1.1,7.0
Kansas City Chiefs,2,3,0,.400,125,107,18,3.6,0.4,4.0,1.0,3.1
Las Vegas Raiders,1,4,0,.200,83,139,-56,-11.2,3.2,-8.0,-5.7,-2.3
Philadelphia Eagles,4,1,0,.800,125,109,16,3.2,3.9,7.1,0.5,6.6
Washington Commanders,3,2,0,.600,134,101,33,6.6,-2.0,4.6,5.6,-1.0
Dallas Cowboys,2,2,1,.500,151,154,-3,-0.6,-1.9,-2.5,7.6,-10.0
New York Giants,1,4,0,.200,87,127,-40,-8.0,0.1,-7.9,-8.0,0.1
Detroit Lions,4,1,0,.800,174,112,62,12.4,-5.4,7.0,7.8,-0.8
Green Bay Packers,2,1,1,.625,104,84,20,5.0,-0.7,4.3,-0.3,4.6
Minnesota Vikings,3,2,0,.600,123,97,26,5.2,-5.7,-0.5,0.3,-0.8
Chicago Bears,2,2,0,.500,101,117,-16,-4.0,-1.0,-5.0,-1.7,-3.2
Tampa Bay Buccaneers,4,1,0,.800,135,132,3,0.6,3.4,4.0,9.1,-5.1
Atlanta Falcons,2,2,0,.500,76,86,-10,-2.5,1.2,-1.3,-6.6,5.4
Carolina Panthers,2,3,0,.400,102,119,-17,-3.4,0.1,-3.3,-1.7,-1.6
New Orleans Saints,1,4,0,.200,92,135,-43,-8.6,0.0,-8.6,-3.2,-5.4
San Francisco 49ers,4,1,0,.800,106,98,8,1.6,3.4,5.0,-1.4,6.4
Los Angeles Rams,3,2,0,.600,123,107,16,3.2,5.9,9.1,7.3,1.9
Seattle Seahawks,3,2,0,.600,146,105,41,8.2,-0.9,7.3,4.9,2.3
Arizona Cardinals,2,3,0,.400,103,96,7,1.4,-1.5,-0.1,-3.4,3.4
